,product name,price
0,Riff 2 Half in-Ear True Wireless Earbuds,₵199
1,FreePods 3C ENC True Wireless Earbuds,₵275
2,FreePods 4 ANC True Wireless Earbuds,₵360
3,SpacePods x Burna Boy ANC True Wireless Earbuds,₵459
4,BoomPop 2 ENC Over-Ear Wireless Headphones,₵215
5,Traveler 4 20000mAh 10.5W Power Bank,₵225
6,Watch ES 2 1.95″ AMOLED IP68 Smart Watch,₵485
7,FreePods Lite ENC True Wireless Earbuds,₵170
8,AirBuds 4 ENC True Wireless Earbuds,₵199
9,SmartDent 2 Electric Toothbrush,₵255
10,PowerBox 600 60000mAh 22.5W Power Bank,₵625
11,Traveler Link 20 20000mAh 12W Power Bank,₵245
12,PowerBox 500 50000mAh 22.5W Power Bank,₵489
13,SmartDent C2 Smart Electric Toothbrush,₵140
14,FreePods Pro ANC True Wireless Earbuds,₵600
15,Shark 4 Wireless Headphones,₵150
16,Necklace 4 ENC Wireless Headphones,₵260
17,Smart NightLight Automatic LED Night Light,₵125
18,Smart Clipper 2 Professional Hair Clipper,₵260
19,SmartDent Electric Toothbrush,₵189
20,Smart Shaver 3D Rotary Electric Shaver,₵120
21,Smart Trimmer Powerful & Durable Trimmer,₵120
22,OpenPods Open-ear Wireless Earphones,₵725
23,Watch ER 1.43'' AMOLED IP68 Smart Watch,₵499
24,Watch 3 Lite 1.69” TFT IP68 Smart Watch,₵235
25,BoomPop2S ENC Over-Ear Wireless Headphones,₵299
26,Traveler 3 Lit 27000mAh 15W Power Bank,₵299
27,Traveler Link 27 27000mAh 12W Power Bank,₵299
28,Palm 3W IP67 Wireless Speaker,₵130
29,Wrap 5W FM IP67 Wireless Speaker,₵299
30,Tilt 16W Wireless Speaker,₵350
31,Rhyme ANC True Wireless Earbuds,₵225
32,Shark 2 Sport Wireless Headphone,₵120
33,Necklace Pro ANC Wireless Headphones,₵385
34,Conch 2 In-Ear Wired Headphones,₵20
35,Trumpet 3 HIFI Audio In-Ear Headphones,₵48
36,Smart Bulb 9W Light Bulbs,₵140
37,Ultrasonic Humidifier 2.5L 26dB Silent Humidifier,₵329
38,PowerBox 300 30000mAh 15W Power Bank,₵470
39,Slice Link 10000mAh 12W Power Bank,₵160
40,Smart Clipper 2 Gold Professional Hair Clipper,₵299
41,Smart Handheld fan Foldable HandHeld Fan,₵185
42,Smart Shaver 7D 7 Razor Heads 360° Shaver,₵345
43,"Tempo S2 1.4"" TFT IP68 Smart Watch",₵200
44,Watch 2 1.69″ LCD IP67 Smart Watch,₵299
45,Watch 3 Pro 1.83'' LCD IP68 Smart Watch,₵465
46,AirBuds 3 IP67 True Wireless Earbuds,₵290
47,Braid 1.5m 2.1A Cable Type-C,₵45
